iter	Logloss
0	0.67193084
1	0.649360789
2	0.6272185937
3	0.6113349768
4	0.5944322258
5	0.5792025207
6	0.5673006736
7	0.5597919686
8	0.5507525371
9	0.5403784101
10	0.5334881697
11	0.5286367163
12	0.5211601248
13	0.5129629015
14	0.506730203
15	0.5006871798
16	0.49614799
17	0.4910082482
18	0.4858686304
19	0.481707019
20	0.4788556951
21	0.4751697684
22	0.4717949634
23	0.4684236634
24	0.4656238972
25	0.4627581382
26	0.4604460521
27	0.45872382
28	0.4553976981
29	0.4536437504
30	0.451620134
31	0.4500768012
32	0.4478656266
33	0.4460267468
34	0.4449309225
35	0.4431947673
36	0.4416315151
37	0.4399110918
38	0.4380957398
39	0.4363229745
40	0.4349033878
41	0.433325897
42	0.4319462726
43	0.4303757584
44	0.4291287545
45	0.4275632422
46	0.4265897712
47	0.4259815625
48	0.4250599272
49	0.4246155088
50	0.4240473879
51	0.4230471127
52	0.4222021319
53	0.4210642474
54	0.4204490547
55	0.4196584671
56	0.418822826
57	0.4184004681
58	0.4174876839
59	0.4170526339
60	0.4165134448
61	0.4160767949
62	0.4154994519
63	0.4153753715
64	0.4147658494
65	0.4140104539
66	0.4132090188
67	0.4124479457
68	0.4122392014
69	0.4116024167
70	0.4111809687
71	0.4106671917
72	0.4103127521
73	0.4095492917
74	0.4090015129
75	0.4083213393
76	0.407837433
77	0.4073612159
78	0.4067122025
79	0.4063969543
80	0.4062375815
81	0.405830126
82	0.4055597222
83	0.4050221688
84	0.4047637388
85	0.4041610425
86	0.403817527
87	0.4033530238
88	0.4032949667
89	0.402678436
90	0.4025628636
91	0.4019241267
92	0.4018283319
93	0.4015504413
94	0.4011708412
95	0.4008738833
96	0.4004961867
97	0.4003978167
98	0.4002170641
99	0.4000800432
100	0.3999037345
101	0.3993760035
102	0.398985906
103	0.3986891187
104	0.3983350107
105	0.3981961626
106	0.3980520001
107	0.3976330075
108	0.3973032337
109	0.3971142376
110	0.3969366588
111	0.3966500365
112	0.3963060674
113	0.395919792
114	0.3957601237
115	0.3955066271
116	0.3951125324
117	0.3947726482
118	0.3945369338
119	0.3945219989
120	0.3942823328
121	0.3938218285
122	0.3936057166
123	0.3935655159
124	0.393344618
125	0.3930848484
126	0.3929263385
127	0.3927100554
128	0.3927033295
129	0.3924127722
130	0.3921734975
131	0.3919109348
132	0.3917034262
133	0.3914168941
134	0.3913516894
135	0.391221307
136	0.3910661801
137	0.3908074034
138	0.3904165813
139	0.3902381242
140	0.3898428623
141	0.3897902871
142	0.3896872199
143	0.3895331159
144	0.3894222064
145	0.3893108669
146	0.3893102378
147	0.3891917575
148	0.3888451867
149	0.3886265819
150	0.3883527284
151	0.3879576303
152	0.3878517585
153	0.3872743831
154	0.386955361
155	0.3867313807
156	0.3862660447
157	0.3860739383
158	0.3858184127
159	0.3856754807
160	0.3853980622
161	0.3851113601
162	0.3847158857
163	0.3846051956
164	0.3843956755
165	0.3843668528
166	0.3841831422
167	0.3840366501
168	0.3837839829
169	0.3836582101
170	0.3834308498
171	0.3830875667
172	0.382922136
173	0.382581061
174	0.3822088421
175	0.3818833695
176	0.3816610116
177	0.3814940773
178	0.3812797753
179	0.3809414386
180	0.3806295038
181	0.380531658
182	0.3802562135
183	0.3801016218
184	0.3799060869
185	0.3796740228
186	0.3794867989
187	0.3792127925
188	0.3790988148
189	0.3789047768
190	0.378755135
191	0.37834163
192	0.378195516
193	0.3780359239
194	0.3779742676
195	0.377653213
196	0.3773646862
197	0.3771771042
198	0.3769259746
199	0.3767637293
200	0.3765807636
201	0.3760476974
202	0.375997584
203	0.3759296362
204	0.375408505
205	0.3751926332
206	0.3750082406
207	0.3747326265
208	0.374511717
209	0.3743771879
210	0.373978442
211	0.3736464384
212	0.3735016579
213	0.3733998625
214	0.3732852757
215	0.3729851921
216	0.3725219265
217	0.372385773
218	0.3721911863
219	0.3720325007
220	0.3716885237
221	0.3715072545
222	0.3714632976
223	0.371425521
224	0.3713511704
225	0.3710367556
226	0.3708218616
227	0.3707424962
228	0.3706912601
229	0.3705699229
230	0.3703870488
231	0.3703638656
232	0.3699293975
233	0.369489562
234	0.3693188076
235	0.3690551767
236	0.3688992285
237	0.3687611153
238	0.3685289254
239	0.3682287125
240	0.3681760155
241	0.3681135957
242	0.3679660893
243	0.3679056805
244	0.3678504376
245	0.3676599296
246	0.3675639585
247	0.3673442433
248	0.3672181336
249	0.3670084617
250	0.3666680253
251	0.3662106941
252	0.3659686446
253	0.3657120505
254	0.3655985308
255	0.3654674663
256	0.3653362381
257	0.3650152145
258	0.3648977232
259	0.3646294987
260	0.3644181064
261	0.364149998
262	0.3640338266
263	0.3639434317
264	0.3638599746
265	0.363761449
266	0.3636288791
267	0.3635078991
268	0.36345904
269	0.3632238448
270	0.3631573189
271	0.3630940439
272	0.3630429777
273	0.3630161581
274	0.3627905895
275	0.3625888958
276	0.3623769544
277	0.3622165605
278	0.3621563438
279	0.3620302229
280	0.3618954631
281	0.3616926365
282	0.3615953941
283	0.3615053291
284	0.3613216486
285	0.3612158082
286	0.3610499138
287	0.3608288387
288	0.3606575033
289	0.3604107885
290	0.3600461433
291	0.3598908872
292	0.3597755682
293	0.3595124944
294	0.359316852
295	0.3591043644
296	0.3589473179
297	0.3588439409
298	0.3587287686
299	0.3585848214
300	0.3585423613
301	0.358400341
302	0.3583618403
303	0.3581862904
304	0.3580782939
305	0.3578778839
306	0.3577349754
307	0.3574159261
308	0.3573186624
309	0.3571578493
310	0.3570178397
311	0.3568216546
312	0.3565605363
313	0.3563953991
314	0.3562861968
315	0.3562751709
316	0.3562044267
317	0.356084422
318	0.3559548942
319	0.3558036692
320	0.3556769602
321	0.3555061915
322	0.3552327588
323	0.3551190737
324	0.3550321909
325	0.3548729081
326	0.3546610496
327	0.354572458
328	0.354469359
329	0.3541791731
330	0.3541335392
331	0.3540607995
332	0.3537505183
333	0.3535042657
334	0.3532898967
335	0.3531303855
336	0.3530005596
337	0.35285061
338	0.352679446
339	0.3525600696
340	0.3522092073
341	0.3519502638
342	0.3519076949
343	0.3517386551
344	0.3515889594
345	0.3515114061
346	0.351409677
347	0.3511321087
348	0.3510390167
349	0.3509400539
