iter	Passed	Remaining
0	42	42592
1	93	46786
2	156	51861
3	204	51017
4	265	52740
5	312	51833
6	360	51120
7	418	51902
8	482	53107
9	529	52388
10	574	51691
11	623	51309
12	668	50788
13	729	51390
14	777	51077
15	838	51583
16	888	51387
17	940	51313
18	986	50936
19	1036	50776
20	1083	50530
21	1135	50485
22	1182	50213
23	1231	50071
24	1285	50151
25	1332	49914
26	1378	49682
27	1426	49508
28	1473	49340
29	1538	49729
30	1586	49586
31	1645	49781
32	1692	49600
33	1740	49464
34	1799	49603
35	1845	49423
36	1896	49357
37	1943	49213
38	1992	49107
39	2040	48983
40	2090	48888
41	2137	48756
42	2184	48615
43	2251	48915
44	2300	48828
45	2348	48696
46	2395	48579
47	2443	48458
48	2493	48399
49	2546	48380
50	2593	48266
51	2655	48419
52	2703	48300
53	2750	48191
54	2809	48276
55	2857	48170
56	2907	48105
57	2956	48024
58	3004	47912
59	3053	47842
60	3105	47805
61	3162	47851
62	3217	47858
63	3237	47353
64	3295	47401
65	3356	47494
66	3405	47418
67	3461	47446
68	3503	47274
69	3552	47200
70	3600	47109
71	3647	47012
72	3693	46897
73	3741	46816
74	3802	46902
75	3858	46909
76	3927	47083
77	3973	46972
78	4063	47374
79	4125	47441
80	4178	47411
81	4225	47309
82	4272	47200
83	4319	47101
84	4374	47093
85	4435	47145
86	4482	47042
87	4528	46932
88	4546	46534
89	4591	46426
90	4615	46101
91	4662	46017
92	4693	45776
93	4739	45682
94	4786	45601
95	4835	45534
96	4882	45454
97	4924	45324
98	4971	45243
99	5017	45161
100	5068	45112
101	5115	45034
102	5161	44954
103	5211	44898
104	5258	44819
105	5296	44672
106	5341	44578
107	5380	44436
108	5417	44281
109	5455	44139
110	5492	43987
111	5534	43881
112	5573	43749
113	5611	43612
114	5652	43498
115	5691	43371
116	5729	43240
117	5768	43118
118	5807	42992
119	5832	42774
120	5871	42652
121	5917	42583
122	5956	42467
123	5969	42174
124	6009	42067
125	6048	41956
126	6091	41874
127	6136	41802
128	6166	41638
129	6233	41718
130	6281	41669
131	6342	41708
132	6392	41668
133	6420	41494
134	6459	41385
135	6503	41313
136	6540	41202
137	6577	41085
138	6614	40972
139	6656	40886
140	6703	40841
141	6719	40603
142	6762	40525
143	6809	40478
144	6856	40428
145	6905	40392
146	6921	40165
147	6969	40123
148	7017	40080
149	7062	40020
150	7111	39985
151	7158	39935
152	7202	39870
153	7255	39855
154	7302	39811
155	7350	39767
156	7391	39688
157	7430	39599
158	7494	39641
159	7542	39598
160	7611	39666
161	7650	39572
162	7703	39555
163	7739	39451
164	7777	39358
165	7815	39264
166	7853	39175
167	7894	39095
168	7932	39004
169	7978	38956
170	8019	38880
171	8058	38795
172	8097	38708
173	8135	38619
174	8174	38535
175	8217	38470
176	8263	38425
177	8306	38357
178	8346	38284
179	8397	38257
180	8450	38238
181	8497	38193
182	8542	38139
183	8586	38079
184	8625	38000
185	8667	37933
186	8717	37901
187	8764	37853
188	8808	37795
189	8853	37743
190	8907	37730
191	8959	37705
192	9006	37660
193	9069	37679
194	9125	37672
195	9167	37606
196	9210	37542
197	9249	37464
198	9289	37389
199	9331	37327
200	9373	37261
201	9420	37214
202	9466	37164
203	9517	37136
204	9564	37091
205	9611	37046
206	9675	37067
207	9720	37013
208	9768	36969
209	9814	36922
210	9857	36861
211	9904	36815
212	9952	36771
213	10015	36784
214	10091	36844
215	10153	36854
216	10219	36873
217	10267	36832
218	10314	36783
219	10362	36738
220	10406	36680
221	10451	36627
222	10491	36555
223	10530	36479
224	10571	36411
225	10613	36350
226	10652	36274
227	10694	36211
228	10738	36154
229	10785	36107
230	10831	36057
231	10876	36006
232	10927	35971
233	10999	36007
234	11042	35947
235	11081	35872
236	11120	35801
237	11165	35748
238	11212	35700
239	11258	35651
240	11297	35581
241	11333	35498
242	11372	35429
243	11407	35345
244	11443	35265
245	11483	35197
246	11524	35134
247	11568	35079
248	11609	35013
249	11647	34943
250	11687	34875
251	11725	34804
252	11763	34732
253	11802	34662
254	11841	34596
255	11880	34526
256	11921	34466
257	11962	34404
258	12009	34360
259	12052	34303
260	12092	34237
261	12131	34171
262	12168	34099
263	12210	34041
264	12249	33974
265	12287	33906
266	12325	33836
267	12363	33768
268	12400	33699
269	12443	33643
270	12488	33593
271	12528	33531
272	12565	33462
273	12599	33383
274	12641	33328
275	12681	33264
276	12721	33204
277	12759	33138
278	12799	33077
279	12838	33013
280	12878	32953
281	12921	32900
282	12962	32842
283	13004	32786
284	13054	32750
285	13094	32691
286	13140	32645
287	13188	32605
288	13249	32596
289	13299	32561
290	13347	32519
291	13393	32475
292	13442	32435
293	13489	32392
294	13529	32332
295	13577	32293
296	13624	32249
297	13672	32207
298	13716	32158
299	13762	32113
300	13807	32064
301	13873	32065
302	13916	32011
303	13955	31950
304	13996	31892
305	14044	31853
306	14086	31797
307	14128	31743
308	14179	31708
309	14226	31665
310	14272	31619
311	14320	31579
312	14367	31534
313	14414	31491
314	14461	31448
315	14512	31413
316	14560	31372
317	14620	31355
318	14676	31331
319	14723	31286
320	14768	31240
321	14813	31192
322	14863	31152
323	14910	31108
324	14954	31060
325	14999	31010
326	15056	30987
327	15102	30941
328	15149	30897
329	15198	30856
330	15249	30821
331	15293	30772
332	15342	30730
333	15385	30678
334	15429	30629
335	15475	30583
336	15522	30537
337	15572	30500
338	15614	30446
339	15656	30391
340	15697	30335
341	15739	30281
342	15777	30221
343	15817	30163
344	15855	30103
345	15896	30048
346	15935	29988
347	15976	29933
348	16018	29880
349	16068	29841
350	16106	29781
351	16148	29728
352	16203	29699
353	16246	29647
354	16290	29597
355	16347	29572
356	16398	29536
357	16448	29496
358	16489	29443
359	16536	29398
360	16582	29351
361	16629	29308
362	16674	29260
363	16716	29208
364	16761	29160
365	16801	29103
366	16840	29045
367	16877	28985
368	16916	28927
369	16955	28869
370	16999	28821
371	17041	28769
372	17099	28743
373	17150	28706
374	17211	28685
375	17259	28643
376	17316	28616
377	17388	28612
378	17434	28567
379	17480	28520
380	17530	28481
381	17570	28424
382	17613	28374
383	17652	28318
384	17691	28260
385	17734	28209
386	17772	28151
387	17812	28095
388	17882	28088
389	17933	28049
390	17981	28007
391	18030	27966
392	18084	27932
393	18141	27903
394	18217	27902
395	18270	27867
396	18318	27823
397	18366	27779
398	18413	27735
399	18464	27696
400	18513	27654
401	18574	27630
402	18617	27580
403	18672	27547
404	18717	27498
405	18765	27454
406	18808	27404
407	18850	27351
408	18889	27294
409	18928	27238
410	18966	27180
411	19010	27132
412	19051	27078
413	19095	27029
414	19454	27423
415	19501	27377
416	19549	27331
417	19598	27287
418	19645	27240
419	19687	27188
420	19735	27141
421	19781	27093
422	19830	27050
423	19895	27027
424	19943	26982
425	19998	26946
426	20044	26898
427	20089	26848
428	20134	26798
429	20185	26756
430	20229	26706
431	20276	26660
432	20318	26606
433	20357	26548
434	20395	26490
435	20448	26451
436	20488	26395
437	20526	26337
438	20569	26286
439	20614	26236
440	20662	26190
441	20705	26139
442	20746	26085
443	20790	26034
444	20832	25982
445	20904	25966
446	20947	25915
447	20994	25867
448	21045	25826
449	21104	25794
450	21150	25746
451	21194	25695
452	21234	25641
453	21285	25598
454	21329	25548
455	21373	25498
456	21416	25446
457	21476	25415
458	21522	25367
459	21566	25317
460	21613	25270
461	21657	25220
462	21705	25175
463	21752	25128
464	21797	25079
465	21842	25030
466	21924	25023
467	21972	24977
468	22019	24929
469	22061	24877
470	22106	24828
471	22152	24780
472	22198	24733
473	22246	24687
474	22294	24640
475	22339	24592
476	22384	24543
477	22433	24497
478	22493	24465
479	22541	24419
480	22592	24377
481	22637	24328
482	22678	24274
483	22727	24230
484	22767	24176
485	22806	24120
486	22845	24065
487	22888	24013
488	22927	23958
489	22968	23905
490	23004	23848
491	23042	23791
492	23080	23736
493	23118	23680
494	23157	23625
495	23196	23570
496	23237	23517
497	23277	23464
498	23314	23407
499	23352	23352
500	23389	23296
501	23434	23247
502	23472	23192
503	23527	23154
504	23566	23099
505	23607	23047
506	23649	22996
507	23687	22941
508	23727	22888
509	23765	22833
510	23804	22779
511	23854	22736
512	23893	22682
513	23934	22630
514	23980	22583
515	24018	22528
516	24056	22474
517	24094	22419
518	24133	22366
519	24175	22315
520	24214	22262
521	24253	22209
522	24291	22154
523	24331	22103
524	24370	22049
525	24416	22002
526	24458	21952
527	24509	21910
528	24563	21870
529	24602	21817
530	24641	21764
531	24679	21710
532	24718	21657
533	24756	21603
534	24796	21551
535	24842	21505
536	24880	21452
537	24920	21399
538	24962	21349
539	25000	21296
540	25043	21247
541	25082	21195
542	25122	21143
543	25162	21092
544	25202	21040
545	25240	20987
546	25282	20937
547	25326	20889
548	25365	20837
549	25403	20784
550	25441	20731
551	25479	20679
552	25518	20627
553	25571	20586
554	25611	20535
555	25652	20485
556	25691	20433
557	25730	20381
558	25768	20329
559	25807	20277
560	25846	20225
561	25885	20173
562	25939	20134
563	25977	20082
564	26016	20030
565	26056	19979
566	26096	19928
567	26136	19878
568	26178	19829
569	26216	19777
570	26256	19726
571	26293	19673
572	26331	19622
573	26370	19571
574	26410	19520
575	26450	19470
576	26489	19419
577	26528	19368
578	26570	19320
579	26642	19292
580	26686	19245
581	26726	19195
582	26765	19144
583	26803	19092
584	26840	19040
585	26880	18990
586	26918	18939
587	26959	18890
588	27000	18840
589	27039	18790
590	27077	18738
591	27113	18686
592	27153	18636
593	27191	18585
594	27230	18534
595	27269	18484
596	27309	18434
597	27346	18383
598	27384	18332
599	27421	18281
600	27458	18229
601	27497	18179
602	27535	18128
603	27574	18078
604	27628	18038
605	27672	17991
606	27709	17940
607	27746	17889
608	27797	17846
609	27837	17798
610	27880	17750
611	27919	17700
612	27959	17651
613	27999	17602
614	28036	17551
615	28074	17500
616	28111	17450
617	28152	17401
618	28191	17352
619	28230	17302
620	28267	17252
621	28306	17202
622	28342	17150
623	28377	17099
624	28416	17049
625	28454	16999
626	28492	16950
627	28531	16901
628	28570	16851
629	28607	16801
630	28663	16762
631	28700	16711
632	28753	16670
633	28792	16621
634	28831	16572
635	28870	16523
636	28908	16473
637	28946	16424
638	28985	16374
639	29024	16326
640	29061	16276
641	29097	16225
642	29137	16177
643	29177	16129
644	29216	16080
645	29256	16032
646	29295	15983
647	29334	15934
648	29372	15885
649	29412	15837
650	29450	15788
651	29487	15738
652	29526	15689
653	29564	15641
654	29604	15593
655	29643	15544
656	29700	15505
657	29740	15457
658	29781	15410
659	29828	15365
660	29867	15317
661	29905	15268
662	29947	15222
663	29988	15175
664	30026	15126
665	30066	15078
666	30103	15029
667	30145	14982
668	30185	14934
669	30223	14886
670	30262	14837
671	30307	14793
672	30353	14748
673	30397	14702
674	30450	14661
675	30498	14617
676	30543	14572
677	30584	14525
678	30624	14478
679	30665	14430
680	30723	14391
681	30764	14344
682	30805	14297
683	30844	14249
684	30883	14201
685	30922	14154
686	30963	14107
687	31009	14062
688	31057	14018
689	31101	13973
690	31151	13930
691	31193	13883
692	31238	13838
693	31286	13794
694	31336	13751
695	31378	13705
696	31417	13657
697	31464	13613
698	31542	13582
699	31588	13537
700	31628	13490
701	31672	13445
702	31713	13397
703	31766	13356
704	31812	13311
705	31857	13266
706	31906	13222
707	31955	13179
708	31998	13133
709	32039	13086
710	32078	13038
711	32116	12990
712	32158	12944
713	32196	12896
714	32234	12848
715	32272	12800
716	32311	12753
717	32350	12706
718	32390	12658
719	32429	12611
720	32467	12563
721	32506	12516
722	32544	12468
723	32595	12425
724	32633	12378
725	32672	12330
726	32708	12282
727	32747	12235
728	32814	12198
729	32866	12156
730	32913	12111
731	32959	12067
732	33007	12023
733	33055	11979
734	33103	11935
735	33152	11891
736	33196	11846
737	33240	11800
738	33315	11766
739	33360	11721
740	33405	11676
741	33454	11632
742	33500	11587
743	33545	11542
744	33590	11497
745	33629	11450
746	33667	11402
747	33711	11357
748	33750	11310
749	33815	11271
750	33866	11228
751	33922	11187
752	33972	11143
753	34025	11101
754	34100	11065
755	34145	11020
756	34188	10974
757	34227	10927
758	34266	10880
759	34305	10833
760	34348	10787
761	34395	10742
762	34438	10697
763	34485	10652
764	34536	10609
765	34584	10564
766	34628	10519
767	34672	10473
768	34720	10429
769	34765	10384
770	34817	10341
771	34864	10296
772	34902	10249
773	34945	10203
774	34995	10159
775	35041	10114
776	35085	10069
777	35131	10024
778	35175	9979
779	35215	9932
780	35254	9885
781	35291	9838
782	35335	9792
783	35375	9746
784	35419	9700
785	35462	9655
786	35501	9608
787	35541	9562
788	35579	9514
789	35629	9471
790	35667	9424
791	35710	9378
792	35751	9332
793	35797	9287
794	35868	9249
795	35913	9203
796	35968	9161
797	36012	9116
798	36059	9071
799	36104	9026
800	36151	8981
801	36197	8936
802	36241	8891
803	36284	8845
804	36324	8799
805	36363	8752
806	36403	8706
807	36454	8662
808	36502	8618
809	36548	8573
810	36593	8528
811	36639	8483
812	36685	8438
813	36731	8393
814	36776	8348
815	36822	8303
816	36895	8264
817	36944	8220
818	36989	8174
819	37033	8129
820	37079	8084
821	37127	8039
822	37175	7995
823	37220	7950
824	37264	7904
825	37310	7859
826	37353	7813
827	37392	7767
828	37433	7721
829	37472	7675
830	37512	7628
831	37550	7582
832	37590	7536
833	37638	7491
834	37684	7446
835	37736	7402
836	37785	7358
837	37834	7314
838	37894	7271
839	37964	7231
840	38000	7184
841	38040	7138
842	38077	7091
843	38116	7045
844	38158	6999
845	38195	6952
846	38232	6906
847	38273	6860
848	38312	6814
849	38361	6769
850	38415	6726
851	38454	6679
852	38493	6633
853	38531	6587
854	38572	6541
855	38610	6495
856	38648	6448
857	38686	6402
858	38724	6356
859	38763	6310
860	38802	6264
861	38841	6218
862	38881	6172
863	38921	6126
864	38990	6085
865	39031	6039
866	39070	5993
867	39111	5947
868	39151	5902
869	39190	5856
870	39228	5809
871	39266	5763
872	39303	5717
873	39342	5671
874	39381	5625
875	39418	5579
876	39456	5533
877	39495	5488
878	39535	5442
879	39573	5396
880	39615	5351
881	39665	5306
882	39706	5261
883	39744	5215
884	39787	5170
885	39827	5124
886	39867	5078
887	39904	5032
888	39945	4987
889	40011	4945
890	40055	4900
891	40092	4854
892	40134	4808
893	40171	4763
894	40210	4717
895	40249	4671
896	40287	4626
897	40329	4580
898	40369	4535
899	40409	4489
900	40449	4444
901	40486	4398
902	40526	4353
903	40565	4307
904	40603	4262
905	40641	4216
906	40681	4171
907	40732	4127
908	40780	4082
909	40818	4036
910	40856	3991
911	40897	3946
912	40939	3901
913	40977	3855
914	41039	3812
915	41081	3767
916	41120	3721
917	41157	3676
918	41197	3631
919	41235	3585
920	41273	3540
921	41311	3494
922	41351	3449
923	41391	3404
924	41431	3359
925	41469	3314
926	41507	3268
927	41549	3223
928	41594	3178
929	41635	3133
930	41674	3088
931	41726	3044
932	41764	2999
933	41802	2953
934	41842	2908
935	41881	2863
936	41922	2818
937	41962	2773
938	42002	2728
939	42066	2685
940	42108	2640
941	42149	2595
942	42187	2550
943	42225	2504
944	42264	2459
945	42301	2414
946	42339	2369
947	42379	2324
948	42418	2279
949	42457	2234
950	42497	2189
951	42536	2144
952	42577	2099
953	42612	2054
954	42651	2009
955	42689	1964
956	42729	1919
957	42779	1875
958	42825	1830
959	42862	1785
960	42921	1741
961	42969	1697
962	43014	1652
963	43066	1608
964	43147	1564
965	43192	1520
966	43235	1475
967	43274	1430
968	43314	1385
969	43352	1340
970	43388	1295
971	43432	1251
972	43486	1206
973	43541	1162
974	43598	1117
975	43653	1073
976	43697	1028
977	43749	984
978	43799	939
979	43852	894
980	43892	850
981	43937	805
982	43985	760
983	44030	715
984	44098	671
985	44168	627
986	44212	582
987	44257	537
988	44300	492
989	44346	447
990	44389	403
991	44427	358
992	44468	313
993	44510	268
994	44548	223
995	44587	179
996	44626	134
997	44664	89
998	44702	44
999	44740	0
