iter	Passed	Remaining
0	37	37122
1	80	40244
2	120	40149
3	162	40539
4	204	40640
5	244	40531
6	287	40728
7	326	40532
8	410	45162
9	450	44625
10	494	44434
11	535	44114
12	580	44036
13	619	43642
14	659	43309
15	699	43004
16	743	43004
17	789	43094
18	837	43247
19	892	43732
20	940	43841
21	986	43871
22	1044	44351
23	1104	44899
24	1156	45117
25	1206	45182
26	1253	45159
27	1295	44985
28	1359	45505
29	1410	45594
30	1461	45681
31	1510	45707
32	1587	46510
33	1634	46444
34	1685	46459
35	1767	47331
36	1817	47291
37	1874	47458
38	1925	47446
39	1977	47460
40	2030	47484
41	2077	47381
42	2135	47531
43	2224	48336
44	2275	48289
45	2323	48181
46	2365	47972
47	2411	47825
48	2453	47623
49	2498	47464
50	2539	47263
51	2581	47070
52	2632	47035
53	2681	46969
54	2730	46923
55	2778	46844
56	2806	46423
57	2851	46316
58	2892	46140
59	2936	46005
60	2956	45515
61	2997	45356
62	3039	45203
63	3080	45058
64	3123	44925
65	3166	44811
66	3201	44582
67	3241	44430
68	3363	45384
69	3419	45425
70	3460	45274
71	3515	45309
72	3555	45149
73	3599	45047
74	3648	44993
75	3696	44946
76	3746	44909
77	3803	44955
78	3867	45086
79	3914	45019
80	3962	44959
81	4014	44947
82	4057	44833
83	4100	44710
84	4143	44599
85	4187	44501
86	4235	44447
87	4283	44394
88	4330	44326
89	4362	44105
90	4414	44093
91	4456	43982
92	4499	43886
93	4540	43765
94	4586	43688
95	4627	43577
96	4668	43463
97	4708	43334
98	4749	43221
99	4792	43128
100	4854	43207
101	4882	42988
102	4929	42929
103	4974	42859
104	5005	42666
105	5046	42564
106	5092	42505
107	5139	42452
108	5187	42400
109	5232	42337
110	5281	42296
111	5332	42278
112	5368	42142
113	5429	42199
114	5480	42175
115	5522	42083
116	5563	41984
117	5605	41897
118	5646	41803
119	5660	41513
120	5709	41473
121	5727	41216
122	5779	41208
123	5826	41160
124	5877	41141
125	5901	40935
126	5945	40868
127	5972	40686
128	6013	40604
129	6057	40541
130	6098	40457
131	6140	40378
132	6182	40305
133	6226	40237
134	6264	40141
135	6304	40054
136	6343	39957
137	6382	39868
138	6425	39799
139	6468	39736
140	6512	39672
141	6554	39605
142	6595	39524
143	6637	39455
144	6680	39394
145	6724	39331
146	6752	39180
147	6793	39110
148	6838	39054
149	6878	38980
150	6922	38919
151	6936	38697
152	6978	38634
153	7021	38572
154	7062	38503
155	7103	38432
156	7130	38287
157	7150	38105
158	7191	38036
159	7233	37975
160	7276	37919
161	7319	37861
162	7360	37793
163	7402	37736
164	7444	37674
165	7488	37621
166	7529	37555
167	7568	37482
168	7609	37415
169	7651	37358
170	7672	37197
171	7713	37134
172	7755	37071
173	7796	37010
174	7836	36943
175	7863	36815
176	7908	36772
177	7949	36708
178	7996	36675
179	8043	36640
180	8083	36576
181	8126	36522
182	8165	36454
183	8207	36398
184	8249	36343
185	8291	36284
186	8332	36228
187	8374	36170
188	8415	36112
189	8466	36094
190	8508	36038
191	8550	35982
192	8591	35922
193	8633	35869
194	8674	35811
195	8714	35748
196	8754	35684
197	8796	35629
198	8837	35571
199	8878	35512
200	8918	35450
201	8956	35382
202	9003	35348
203	9044	35291
204	9084	35229
205	9128	35186
206	9170	35130
207	9211	35075
208	9253	35022
209	9295	34970
210	9338	34920
211	9379	34863
212	9417	34797
213	9460	34749
214	9516	34744
215	9557	34689
216	9598	34634
217	9640	34581
218	9680	34522
219	9723	34473
220	9766	34424
221	9807	34371
222	9850	34320
223	9894	34277
224	9935	34223
225	9983	34190
226	10033	34166
227	10076	34118
228	10116	34061
229	10162	34023
230	10214	34003
231	10260	33967
232	10311	33943
233	10361	33917
234	10404	33871
235	10449	33826
236	10491	33775
237	10531	33719
238	10570	33658
239	10633	33671
240	10691	33671
241	10753	33681
242	10820	33709
243	10864	33662
244	10906	33608
245	10949	33559
246	10991	33507
247	11037	33469
248	11078	33413
249	11122	33366
250	11165	33317
251	11207	33265
252	11248	33211
253	11288	33153
254	11327	33094
255	11369	33041
256	11411	32990
257	11455	32944
258	11497	32893
259	11538	32840
260	11582	32795
261	11624	32743
262	11662	32682
263	11705	32632
264	11742	32568
265	11782	32512
266	11823	32460
267	11864	32406
268	11906	32354
269	11948	32305
270	11990	32254
271	12043	32234
272	12085	32184
273	12124	32124
274	12164	32070
275	12205	32017
276	12248	31969
277	12289	31916
278	12333	31872
279	12378	31830
280	12424	31789
281	12471	31753
282	12522	31725
283	12565	31680
284	12608	31632
285	12657	31600
286	12698	31546
287	12743	31505
288	12786	31458
289	12844	31446
290	12900	31430
291	12949	31397
292	12998	31366
293	13054	31349
294	13101	31311
295	13144	31262
296	13194	31230
297	13241	31192
298	13292	31163
299	13337	31121
300	13379	31069
301	13429	31038
302	13475	30999
303	13523	30962
304	13564	30909
305	13607	30860
306	13647	30806
307	13687	30752
308	13732	30708
309	13776	30664
310	13822	30623
311	13867	30579
312	13917	30547
313	13979	30541
314	14028	30506
315	14076	30468
316	14115	30413
317	14156	30361
318	14198	30311
319	14242	30265
320	14292	30232
