PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,LastName,CabinSector,CabinRoom,CabinClass,Associates,TotalSpend,HomePlanet_X_Destination,HomePlanet_X_Destination_X_CryoSleep,CabinSector_X_CabinRoom,CabinSector_X_CabinRoom_X_CabinClass
0001_01,2,1,3,39.0,1,0.0,0.0,0.0,0.0,0.0,0,1432,2,1,1,1,0.0,11,4,98,6543
0002_01,1,1,3,24.0,1,109.0,9.0,25.0,549.0,44.0,1,2110,6,1,2,1,736.0,7,36,1489,799
0003_01,2,1,3,58.0,2,43.0,3576.0,0.0,6715.0,49.0,0,1991,1,1,2,2,10383.0,11,4,1,1641
0003_02,2,1,3,33.0,1,0.0,1283.0,371.0,3329.0,193.0,0,1991,1,1,2,2,5176.0,11,4,1,1641
0004_01,1,1,3,16.0,1,303.0,70.0,151.0,565.0,2.0,1,1779,6,2,2,1,1091.0,7,36,2295,2124
0005_01,1,1,2,44.0,1,0.0,483.0,0.0,291.0,0.0,1,978,6,1,1,1,774.0,6,33,1489,798
0006_01,1,1,3,26.0,1,42.0,1539.0,3.0,0.0,0.0,1,1081,6,932,2,2,1584.0,7,36,3047,3328
0006_02,1,2,3,28.0,1,0.0,0.0,0.0,0.0,-220.8616101111474,1,1081,7,1,2,2,-220.8616101111474,7,37,3109,3430
0007_01,1,1,3,35.0,1,0.0,785.0,17.0,216.0,0.0,1,169,6,1043,2,1,1018.0,7,36,1530,871
0008_01,2,2,1,14.0,1,0.0,0.0,0.0,0.0,0.0,1,720,2,2,1,3,0.0,9,43,255,2559
0008_02,2,2,3,34.0,1,0.0,0.0,164.97937389418075,0.0,0.0,1,720,2,2,1,3,164.97937389418075,11,5,255,2559
0008_03,2,1,1,45.0,1,39.0,7295.0,589.0,110.0,124.0,1,720,2,2,1,3,8157.0,9,42,255,2559
0009_01,3,1,3,32.0,1,73.0,0.0,1123.0,0.0,113.0,1,123,6,2,1,1,1309.0,15,16,2295,2123
0010_01,1,1,3,48.0,1,719.0,1.0,65.0,0.0,24.0,0,98,7,2,2,1,809.0,7,36,3948,4826
0011_01,1,1,3,28.0,1,8.0,974.0,12.0,2.0,7.0,1,168,6,932,1,1,1003.0,7,36,3047,3327
0012_01,1,1,3,31.0,1,32.0,0.0,876.0,0.0,0.0,0,1574,0,0,0,1,908.0,7,36,0,0
0014_01,3,1,1,27.0,1,1286.0,122.0,218.3944864014798,0.0,0.0,0,637,6,1043,1,1,1626.3944864014798,13,10,1530,870
0015_01,1,1,1,24.0,1,0.0,1.0,0.0,0.0,637.0,0,1028,6,1154,1,1,638.0,5,30,1630,1030
0016_01,3,2,3,45.0,1,0.0,0.0,0.0,0.0,0.0,1,2089,6,1265,1,1,0.0,15,17,1737,1208
0017_01,1,1,3,0.0,1,0.0,0.0,0.0,0.0,0.0,1,252,7,1,1,2,0.0,7,36,3109,3429
0017_02,1,1,1,14.0,1,412.0,0.0,1.0,0.0,679.0,0,252,6,1376,1,2,1092.0,5,30,1846,1384
0020_01,1,2,3,1.0,1,0.0,0.0,0.0,0.0,0.0,0,239,5,1,2,6,0.0,7,37,962,6498
0020_02,1,2,1,49.0,1,0.0,0.0,0.0,0.0,0.0,0,239,5,1,2,6,0.0,5,31,962,6498
0020_03,1,2,1,29.0,1,0.0,0.0,164.9628868252635,0.0,0.0,0,1263,5,1,2,6,164.9628868252635,5,31,962,6498
0020_04,1,1,3,10.0,1,0.0,0.0,0.0,0.0,0.0,1,1083,5,1,2,6,0.0,7,36,962,6498
0020_05,1,2,2,1.0,1,-250.38933494787256,0.0,0.0,0.0,0.0,0,239,5,1,2,6,-250.38933494787256,6,34,962,6498
0020_06,1,1,3,7.0,1,0.0,0.0,0.0,0.0,0.0,0,1263,5,1,2,6,0.0,7,36,962,6498
0022_01,3,1,3,21.0,1,980.0,2.0,69.0,0.0,0.0,0,0,4,1,1,1,1051.0,15,16,711,6085
0024_01,2,2,3,62.0,1,0.0,0.0,165.06938496356102,0.0,0.0,1,798,3,932,2,1,165.06938496356102,11,5,646,5971
0025_01,1,1,3,15.0,1,0.0,225.0,0.0,998.0,0.0,0,258,6,1376,2,1,1223.0,7,36,1846,1385
0026_01,2,1,1,34.0,1,22.0,6073.0,0.0,1438.0,328.0,0,2067,3,1,1,1,7861.0,9,42,410,5098
0028_01,3,1,3,43.0,1,1125.0,0.0,136.0,48.0,0.0,0,1237,6,1597,1,1,1309.0,15,16,2057,1735
0030_01,1,1,3,32.0,1,0.0,850.0,81.0,437.0,453.0,0,1370,7,1154,2,1,1821.0,7,36,3266,3693
0031_01,3,1,3,47.0,1,214.0,0.0,1411.0,0.0,1229.0,1,542,6,1708,1,3,2854.0,15,16,2167,1908
0031_02,3,1,3,2.0,1,0.0,0.0,0.0,0.0,0.0,1,542,6,1708,1,3,0.0,15,16,2167,1908
0031_03,3,1,3,20.0,1,563.1454168495289,0.0,1750.0,990.0,0.0,1,542,6,1708,1,3,3303.145416849529,15,16,2167,1908
0034_01,2,2,1,28.0,1,0.0,0.0,0.0,0.0,0.0,1,1440,4,2,2,1,0.0,9,43,814,6249
0035_01,3,1,1,23.0,1,784.0,964.0,0.0,951.0,0.0,0,307,4,2,1,1,2699.0,13,10,814,6248
0036_01,1,1,1,15.0,0,0.0,492.0,48.0,20.0,401.0,0,1188,6,1597,2,1,961.0,5,30,2057,1736
0038_01,1,1,1,20.0,1,554.0,195.0,0.0,2606.0,0.0,0,2165,6,3,2,1,3355.0,5,30,2393,2293
0039_01,1,2,1,30.0,1,0.0,0.0,164.96584114990944,0.0,0.0,0,140,7,2,1,1,164.96584114990944,5,31,3948,4825
0041_01,1,2,3,17.0,1,0.0,0.0,0.0,0.0,0.0,1,1354,7,932,1,1,0.0,7,37,4385,5543
0043_01,2,1,3,45.0,1,0.0,164.0,45.0,2511.0,855.0,0,535,2,1043,1,1,3575.0,11,4,141,688
0044_01,1,2,3,55.0,1,0.0,0.0,0.0,0.0,0.0,0,480,7,1043,1,3,0.0,7,37,3155,3512
0044_02,1,2,1,4.0,1,0.0,0.0,0.0,0.0,0.0,1,480,7,1043,1,3,0.0,5,31,3155,3512
0044_03,1,2,2,21.0,1,0.0,0.0,0.0,0.0,0.0,1,480,7,1043,1,3,0.0,6,34,3155,3512
0045_01,3,1,3,21.0,1,970.0,0.0,180.0,0.0,64.0,0,392,6,3,1,2,1214.0,15,16,2393,2292
0045_02,3,2,0,19.0,1,0.0,0.0,0.0,0.0,0.0,1,392,6,3,1,2,0.0,12,8,2393,2292
0050_01,1,1,1,35.0,1,790.0,0.0,0.0,219.5413023547284,0.0,0,1171,5,2,2,1,1009.5413023547284,5,30,1340,557
0051_01,1,1,3,56.0,1,0.0,112.0,0.0,1379.0,127.0,0,1097,5,932,2,1,1618.0,7,36,1431,707
0052_01,1,1,3,27.5826464494954,1,4.0,0.0,2.0,4683.0,0.0,0,1025,7,1376,2,1,4689.0,7,36,3484,4053
0053_01,1,1,3,25.0,1,0.0,0.0,1938.0,0.0,1.0,1,971,6,113,2,1,1939.0,7,36,1610,998
0056_01,2,1,3,2.0,1,0.0,0.0,0.0,0.0,0.0,1,2043,1,2,2,3,0.0,11,4,76,6173
0056_02,2,2,3,38.0,1,0.0,0.0,0.0,0.0,0.0,1,2043,1,2,2,3,0.0,11,5,76,6173
0056_03,2,1,3,27.0,1,279.0,605.0,3374.0,286.0,3.0,1,2043,1,2,2,3,4547.0,11,4,76,6173
0058_01,1,2,2,36.0,1,0.0,0.0,0.0,0.0,0.0,0,83,7,1486,2,1,0.0,6,34,3597,4242
0061_01,1,1,3,22.0,1,45.0,1096.0,148.0,1377.0,1.0,0,1772,6,221,2,1,2667.0,7,36,2317,2161
0062_01,1,1,3,62.0,1,0.0,592.0,0.0,17.0,25.0,0,887,6,330,2,1,634.0,7,36,2421,2342
0064_01,3,2,3,15.0,1,0.0,0.0,0.0,0.0,0.0,1,0,6,441,2,2,0.0,15,17,2528,2510
0064_02,0,2,3,33.0,1,0.0,0.0,164.97613623564607,0.0,0.0,1,1114,5,1043,2,2,164.97613623564607,3,25,1003,5
0066_01,1,1,3,62.0,1,1.0,153.0,197.0,0.0,460.0,0,1508,7,1376,1,1,811.0,7,36,3484,4052
